,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
What is the problem you want to solve?,Date Submitted,"Who is the customer?
(Paying Customer - Admin, User or Internal Customer - Marketing)",Country,"How do we know it's a problem? (Admin, manager, user, prospect)",Business case: Estimated impact (+assumptions),Proposed Solution (Optional),Customer type - Global/Complex/ Simple,Customer Game Score,"Company Size <100, 101 - 250, 250 - 2000, 2000+",Industry,Link to call recording,Submitted by,Which Team do you expect to pick up?,Status,Reason,Product Manager,Product,Priority,T-shirt sizing estimate (XS < 2 days; S < 2 weeks; M < 4 weeks; L < 8 weeks; XL > 8 weeks),Date submitted,Dependencies,Title,Problem,Solution,Feasibility
"Hi team, I have an admin from Bellevue who is unhappy that they've had to use their personal mobile device for their two-factor authentication to the platform - they're frustrated since they view Perkbox as a work platform but have to use a personal device to access it. Can we explore other 2FA options that could avoid admins using personal devices? Thanks!",11/07/2024,Bellevue Education International Ltd,UK,Admin,Allows admins to complete 2FA without needing a personal device.,,Large Global,80,1000+,Schools & Education,,Sofie White,Customer Experience,Launched,Sofie White admins can also enable 2 factor authentication with an authenticator app. Will reach out to you on how to enable this,,,,,,"Personal Device 2FA Requirement Causing Admin Frustration","Admins required to use personal devices for work platform authentication","Enable alternative 2FA options beyond personal mobile devices","done"
"Homepage customisation - the customer is looking to be able to adjust what they show on the home screen in more detail, choosing what order to display things and having their culture hub more towards the top of the page. ",12/07/2024,"Kingsbridge Risk Solution
",UK,Admin,Allows admins to choose what they want their users to see when they first log into Perkbox. ,,Global,80,,Insurance,,Steve Hanmer,Perks & Mobile,,"Steve Hanmer in this specific customer's case, which product are they looking to drive more visibility for? ",,,,,,"Homepage Customization And Culture Hub Placement Request","Limited control over homepage content display order and visibility","Add drag-and-drop functionality for homepage content arrangement",3
"Change the wording of the 'Recognise someone' tagline in Celebration Hub. ""Who has gone the extra mile"", which it currently is, looks like it is specifically time or effort based rather than something like ""who has excelled?"" or ""Who has lived our values""",12/07/2024,"Kingsbridge Risk Solution
",UK,Admin,Change would make users more likely to give a recognition if the tag line was more general,,Global,80,,Insurance,,Steve Hanmer,Recognition & Rewards,Under Consideration,That's a great suggestion Steve Hanmer. Richard Toplisek has been running intercom campaigns and nudging users with different prompts. Something for us to consider. ,Hardeep ,,,,,"Recognition Tagline Wording Change Request For Better Engagement","Current recognition prompt focuses only on extra effort metrics","Update recognition prompt to include broader recognition criteria",5
"When selecting values when giving a recognition, the customer would like to be able to add ""Group Values"" or ""Team Values"" to diffrenciate between different parts of their organisation that has differnet values. ",12/07/2024,"Kingsbridge Risk Solution
",UK,Admin,Giving more flexibility around which countries or teams see specific values will help with any confusion when users see values they are not familiar with. ,,Global,80,,Insurance,,Steve Hanmer,Recognition & Rewards,Not Priority,Not a priority at this time Steve Hanmer as most of our customers have values that are relevant to the whole company. This is the first instance of a feedback of this nature - we will keep monitoring. ,Hardeep ,,,,,
"User has asked if there's a way to integrate voucher status, expiry and balance into the platform.",15/7/24,DHL,AU,User,Ease of accessibility on the platform for users. CH currently gets lots of balance queries and queries about expired vouchers,"Not sure if this is possible as some Perks don't update with a live balance, but integrate balance and expiry into platform",Global,,2000+,N/A,https://app.intercom.com/a/inbox/effyqzrr/inbox/team/6857966/conversation/87413502024089?view=List,Bernadette Wong,Perks & Mobile,Not Priority,Bernadette Wong we've explored this and have been informed by Runa that this functionality is retailer specific,,,,,,
"The admin wants to manually add reasons for celebration into Greeting Cards (Curretnly they are only can use :othrs"", but they want to be able to actually type it themselves)",15/7/2024,The Trustee for Coutts Lawyers & Conveyancers Unit Trust,AU,Admin,,,Simple Domestic,100,40,Corporate Services,,Kate Sukhacheva,Recognition & Rewards,,,,,,,,
"The customer has asked ""I know Flexi points expire after 12 months. How can I check the expiry date of my earliest unused points? """,15/07/2024,User - Icon Health and Fitness,UK,User,Users can see which of their oldest points are due to expire and when,Not sure if it's possible to implement something advising when points are due to expire beyond th one month warning,Global,,35,Health and Fitness,,Alex Bentley,Wallet & Payments,Under Consideration,"Alex BentleyCurrently, if points are about to expire within next month, user will be able to see this in their wallets. Working on providing more info with Adarsh Raja.",Maria,,,,,
"A 'like-to-have' suggestion for internal admin please - it'd be incredibly helpful if CH could see the option a user selected from a dropdown field during the redemption process for certain Perks. For example, if a user buys a Vue Cinema ticket (deal ID 4336acd1-4915-4c30-a728-d1ca5a79c734) then we can see which location group they were issued (ie, group 1, 2, 3, etc), but on the platform the select a named location (ie, Sheffield). It would be great if there was a way we could see exactly what location they selected when buying the Perk, and not just the linked group.",15/07/2024,Internal,UK,Internal request,This would better enable CH in conversations with users about any redemption issues they might have.,"I can imagine this information could be included somewhere on the user's profile on back-end, under Order History>Perks>View Full Details, for example.",N/A,N/A,N/A,N/A,N/A,Sofie White,Perks & Mobile,Under Consideration,Sofie White I'll reach out to you for more details,,,,,,
Language barrier - Specifically Netherlands,16/07/24,PFM Intelligence,UK,-,"The current bens contract for this customers employees in NL is coming to an end so they have been exploring Perkbox as an option. The HRD was suprised that as a Global platform, Perkbox is only available in English. This could be a blocker for the customer adding their employees in NL",,Global,100,100,Retail,,Kerrie,,,,,,,,,
"Currently when a reward is scheduled on the platform, when viewing the scheduled celebration in the My Celebrations ""Scheduled"" tab,it shows ""Add a Reward"".
This is leading to customer confusion. Once you click on the three dots and choose ""Edit Recognition"" you can then see the existing reward, however this should be front and center on the scheduled recogniton.
 ",17/7/24,Build & Design,AU,Admin,This would improve quality of life for admins of companies who are scheduling recognitions with rewards attached,Edit the button to Add a reward to show the grand total or subtotal of points already attached to the scheduled recognition if there are any.,Complex,80,250 - 2000,Corporate Services,,Matt Horton,Recognition & Rewards,,,,,,,,
